price;rating;rating_DEC-100;rating_GP;rating_GR;rating_JR;rating_JS;rating_LM;rating_RP;rating_TA;rating_VIN;rating_Vivino;rating_W&S;rating_WE;rating_WS;region_1;region_2;region_3;title;volume
1368;6.7;;;;;;;;;;4.2;;;;Греция;Македония;Афон;Kagor from Holy Mount Athos;0.75
637;;;;;;;;;;;2.5;;;;Германия;;;"Carl Jung, ""Selection Rose"" Alkoholfreier";0.75
1106;8.5;;;;;;;;;;3.5;;;;Австралия;Южная Австралия;;"""Jacob's Creek"" Shiraz Reserve";0.75
712;5.0;;;;;;;;;;3.5;;;;ЮАР;Западный Кейп;Долина Робертсон;Robertson Winery, Cabernet Sauvignon, 2017;0.75
1206;7.3;;;;;;;;;;3.6;;;;Италия;Венето;Вальполичелла;Lenotti, Valpolicella DOC Classico;0.75
1377;5.0;;;;;;;91;;;3.7;;;;Франция;Долина Роны;Кот дю Ванту;"Alain Jaume & Fils, ""Les Gelinottes"", Ventoux AOC, 2017";0.75
1028;7.5;;;;;;;;;;4;;;;Испания;Мурсия;Хумилья;"Finca Bacara, ""Yeya"", Jumilla DOP";0.75
921;;;;;;;;;;;;;86;;Франция;Лангедок-Руссийон;;"""Recital"" Cabernet Sauvignon, Pays d'Oc, 2017";0.75
817;6.0;;;;;;;;;;3.9;;;;Италия;Апулия;Саленто;"Cantine Due Palme, ""San Marco"" Rosso, Salento IGT, 2018";0.75
504;6.0;;;;;;;;;;3.3;;;;Португалия;Лиссабон;;"""Mundus"" Branco";0.75
628;8.7;;;;;;;;;;3.5;;;;Крым;;;"Инкерман, Каберне ""Качинское""";0.75
1057;7.6;;;;;;;;;;3.9;;;;Грузия;Кахетия;;Chateau Mukhrani, Saperavi Superieur;0.75
897;8.9;;;;;;;;;;3.5;;;;Чили;Центральная Долина;Долина Маипо;"""Casillero del Diablo"" Cabernet Sauvignon Reserva";0.75
1065;8.3;;;;;;;;;;3.7;;;;Италия;Тоскана;;"Piccini, ""Memoro"" Rosso";0.75
609;8.3;;;;;;;;;;3.4;;;;Франция;Лангедок-Руссийон;;J. P. Chenet, Colombard-Chardonnay, Vin de France;0.75
822;9.5;;;;;;;;;;3.3;;;;Крым;;;"""Esse"" Rose";0.75
1102;9.0;;;;;;;;;;4;;;;Франция;Лангедок-Руссийон;;Les Jamelles, Syrah, Pays d'Oc IGP, 2017;0.75
